2.0,1.0
4.0,1.0
6.0,1.0
8.0,0.99997
10.0,0.99963
12.0,0.99858
14.0,0.99393
16.0,0.98607
18.0,0.97234
20.0,0.95285
22.0,0.92669
24.0,0.89215
26.0,0.85545
28.0,0.81138
30.0,0.75889
32.0,0.70017
34.0,0.64339
36.0,0.5753
38.0,0.51721
40.0,0.45377
42.0,0.39201
44.0,0.33137
46.0,0.27831
48.0,0.23163
50.0,0.18728
52.0,0.14957
54.0,0.11841
56.0,0.09276
58.0,0.07192
60.0,0.05323
62.0,0.04106
64.0,0.0305
66.0,0.02274
68.0,0.01678
70.0,0.01229
72.0,0.00909
74.0,0.00632
76.0,0.00453
78.0,0.00335
80.0,0.00231
82.0,0.00142
84.0,0.00097
86.0,0.00057
88.0,0.00055
90.0,0.00032
92.0,0.00021
94.0,0.0002
96.0,0.00011
98.0,0.00013
100.0,5.0e-5
